x,y,y_down,y_up
0.0,17.57603686635945,10.0,27.69999999999999
3.0,38.550688897228326,13.0,66.0
6.0,41.76297471142832,14.0,75.0
9.0,41.50389463248832,14.0,75.0
12.0,41.51676056338028,14.0,75.0
15.0,43.696614583333336,11.0,75.0
18.0,30.715635738831615,10.0,55.0
21.0,41.98761609907121,15.0,75.0
24.0,52.0,15.0,120.0
27.0,65.25,21.8,126.10000000000002
30.0,140.0,98.0,170.0
33.0,97.25,53.7,149.0
39.0,162.5,112.5,212.5
42.0,175.0,175.0,175.0
48.0,300.0,300.0,300.0
51.0,253.33333333333334,224.0,288.0
54.0,474.0,235.0,709.2
57.0,320.0,320.0,320.0
60.0,375.0,375.0,375.0
66.0,457.0,423.4,490.6
72.0,350.0,350.0,350.0
75.0,770.0,770.0,770.0
81.0,980.0,980.0,980.0
84.0,495.0,495.0,495.0
87.0,20.0,16.5,23.5
120.0,27.5,12.0,56.2
141.0,24.714285714285715,11.0,42.0
147.0,30.0,30.0,30.0
150.0,40.4,30.0,56.0
162.0,36.666666666666664,32.8,40.8
165.0,23.0,19.0,25.2
168.0,37.166666666666664,25.0,52.5
171.0,41.0,32.2,49.8
177.0,75.0,75.0,75.0
