x,y,y_down,y_up
0.0,18.714064316156527,11.0,28.0
3.0,27.10073913597553,12.0,45.0
6.0,26.849586288416077,12.0,46.0
9.0,28.772972972972973,11.0,50.0
12.0,38.21839645843581,12.0,72.0
15.0,31.15625,8.0,59.0
18.0,31.990922844175493,9.0,67.0
21.0,60.56060606060606,20.0,120.0
24.0,60.785714285714285,23.4,129.5
27.0,103.72727272727273,32.0,200.0
30.0,148.42857142857142,85.0,212.0
33.0,104.75,41.1,184.20000000000002
36.0,150.0,81.2,218.8
42.0,101.0,101.0,101.0
45.0,220.0,220.0,220.0
48.0,230.0,230.0,230.0
69.0,258.0,258.0,258.0
87.0,19.5,15.1,23.9
90.0,27.5,25.5,29.5
120.0,20.0,12.9,29.900000000000002
141.0,16.25,8.6,24.1
147.0,13.0,13.0,13.0
156.0,31.6,28.8,36.0
165.0,18.733333333333334,12.0,24.0
168.0,23.0,20.8,24.8
171.0,26.0,26.0,26.0
189.0,17.0,14.6,19.4
195.0,14.5,13.6,15.0
